Respondent ID,Collector ID,"I consent voluntarily to be a participant in this study and understand that I can refuse to answer questions and I can withdraw from the study at any time, without having to give a reason. ",I understand that information I provide will be used for scientific reports and publications.,How many email accounts do exist under your operated infrastructure?,,What security email protocols do you use?,,,,,,,,,Does your email server validate the senderâ€™s SPF record when it receives an email?
114182974841,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,BIMI,MTA-STS,,STARTTLS,,,Yes
114182514602,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,MTA-STS,DANE,STARTTLS,ARC,,Yes
114182975070,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,ARC,,Yes
114184049208,423494149,Yes,Yes,> 500,,SPF,,,,,DANE,STARTTLS,,,Yes
114183264742,423494149,Yes,Yes,100 ~ 500,,SPF,DKIM,,,,,STARTTLS,,,Yes
114190834217,423494149,Yes,Yes,Other (please specify),A handful of accounts with hundreds of email addresses,SPF,DKIM,DMARC,,MTA-STS,DANE,STARTTLS,,,Yes
114183255277,423494149,Yes,Yes,50 ~ 100,,SPF,DKIM,DMARC,,MTA-STS,,STARTTLS,,,Yes
114182571168,423494149,Yes,Yes,<10,,SPF,DKIM,DMARC,,,DANE,STARTTLS,,,Yes
114182949490,423494149,Yes,Yes,10 ~ 50,,SPF,DKIM,DMARC,,MTA-STS,DANE,STARTTLS,,,Yes
114184122256,423494149,Yes,Yes,Other (please specify),~500000,SPF,DKIM,DMARC,BIMI,MTA-STS,DANE,STARTTLS,ARC,,Yes
114184035582,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114186284166,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114182233759,423494149,Yes,Yes,Other (please specify),5000,SPF,DKIM,DMARC,,MTA-STS,DANE,STARTTLS,,,Yes
114186984266,423494149,Yes,Yes,Response,,SPF,DKIM,DMARC,,MTA-STS,,STARTTLS,ARC,,Yes
114183017554,423494149,Yes,Yes,<10,,SPF,DKIM,DMARC,,MTA-STS,DANE,STARTTLS,,,Yes
114182408200,423494149,Yes,Yes,50 ~ 100,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114183623213,423494149,Yes,Yes,<10,,SPF,DKIM,,,,,STARTTLS,,,Yes
114182386984,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114182599042,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114182425360,423494149,Yes,Yes,<10,Tens of millions,SPF,DKIM,DMARC,,MTA-STS,DANE,STARTTLS,ARC,,Yes
114183309241,423494149,Yes,Yes,Other (please specify),,SPF,DKIM,DMARC,,,DANE,STARTTLS,,,Yes
114183373455,423494149,Yes,Yes,100 ~ 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114184395619,423494149,Yes,Yes,50 ~ 100,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114183415364,423494149,Yes,Yes,100 ~ 500,,SPF,DKIM,DMARC,,,DANE,STARTTLS,ARC,,Yes
114197068219,423494149,Yes,Yes,> 500,,SPF,DKIM,,,,,STARTTLS,,,Yes
114182474412,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114182389046,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,MTA-STS,,STARTTLS,,,Yes
114182234802,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,DANE,STARTTLS,,,Yes
114184092927,423494149,Yes,Yes,> 500,,SPF,DKIM,,,,,STARTTLS,,,Yes
114183969071,423494149,Yes,Yes,<10,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114183755003,423494149,Yes,Yes,,,SPF,DKIM,DMARC,,MTA-STS,DANE,STARTTLS,,,Yes
114183227501,423494149,Yes,Yes,<10,,SPF,DKIM,DMARC,,MTA-STS,DANE,STARTTLS,,,Yes
114182286102,423494149,Yes,Yes,<10,,SPF,DKIM,DMARC,,,DANE,STARTTLS,,,Yes
114182752505,423494149,Yes,Yes,50 ~ 100,,SPF,DKIM,DMARC,,,DANE,STARTTLS,,,Yes
114182945204,423494149,Yes,Yes,<10,,SPF,DKIM,,,,,STARTTLS,,,Yes
114182239523,423494149,Yes,Yes,> 500,,SPF,DKIM,,,,DANE,STARTTLS,,,Yes
114183335102,423494149,Yes,Yes,<10,,SPF,,DMARC,,,,STARTTLS,,,Yes
114197506105,423494149,Yes,Yes,<10,,SPF,,,,,,STARTTLS,,,No
114189814360,423494149,Yes,Yes,> 500,9000,SPF,DKIM,DMARC,,,,,,,Yes
114188660516,423494149,Yes,Yes,Other (please specify),,SPF,DKIM,DMARC,BIMI,MTA-STS,DANE,STARTTLS,ARC,,Yes
114185090829,423494149,Yes,Yes,10 ~ 50,,SPF,DKIM,,,,,STARTTLS,,,Yes
114184347362,423494149,Yes,Yes,100 ~ 500,,SPF,,,,,DANE,STARTTLS,,,Yes
114183786361,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114183315579,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,MTA-STS,,STARTTLS,,,No
114183309167,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114183308884,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114183225591,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114182903323,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,,,,No
114182234917,423494149,Yes,Yes,> 500,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114185182204,423494149,Yes,Yes,100 ~ 500,,SPF,DKIM,DMARC,BIMI,MTA-STS,,STARTTLS,,,Yes
114183424485,423494149,Yes,Yes,10 ~ 50,,SPF,DKIM,DMARC,,,,,,,Yes
114182572022,423494149,Yes,Yes,<10,,SPF,,DMARC,,,,,,,No
114182569375,423494149,Yes,Yes,<10,,,,,,,,,,,No
114182417380,423494149,Yes,Yes,<10,,SPF,DKIM,,,,,,,,Yes
114182238670,423494149,Yes,Yes,10 ~ 50,,SPF,DKIM,DMARC,,,,STARTTLS,,,Yes
114183388289,423494149,Yes,Yes,10 ~ 50,,SPF,DKIM,DMARC,,,,,,,No
114182888863,423494149,Yes,Yes,> 500,,,,,,,,,,,
114182835829,423494149,Yes,Yes,<10,,SPF,DKIM,DMARC,,MTA-STS,,STARTTLS,,IP + hostname denylist / allowlist,No
114182459034,423494149,Yes,Yes,<10,,SPF,,,,,,STARTTLS,,,Yes
114182412374,423494149,Yes,Yes,> 500,,SPF,DKIM,,,,,STARTTLS,,,No
114182251840,423494149,Yes,Yes,10 ~ 50,,SPF,DKIM,DMARC,,,DANE,STARTTLS,,,Yes
114200493407,423494149,Yes,Yes,<10,,,,,,,,,,,
114200366696,423494149,Yes,Yes,,,,,,,,,,,,
114194822890,423494149,Yes,Yes,,,,,,,,,,,,
114193633657,423494149,Yes,Yes,,,SPF,DKIM,DMARC,,MTA-STS,DANE,,,,Yes
114188555002,423494149,Yes,Yes,,,,,,,,,,,,
114187762849,423494149,Yes,Yes,,,,,,,,,,,,
114185834007,423494149,Yes,Yes,,,,,,,,,,,,
114185773778,423494149,Yes,Yes,,,,,,,,,,,,
114184398850,423494149,Yes,Yes,,,,,,,,,,,,
114184183580,423494149,Yes,Yes,,,,,,,,,,,,
114184161049,423494149,Yes,Yes,,,,,,,,,,,,
114184110114,423494149,Yes,Yes,,,,,,,,,,,,
114184065775,423494149,Yes,Yes,,,,,,,,,,,,
114183542082,423494149,Yes,Yes,100 ~ 500,,,,,,,,,,,
114183529884,423494149,Yes,Yes,,,,,,,,,,,,
114183468741,423494149,Yes,Yes,,,,,,,,,,,,
114183421063,423494149,Yes,Yes,,,,,,,,,,,,
114183324596,423494149,Yes,Yes,,,,,,,,,,,,
114183317135,423494149,Yes,Yes,,,,,,,,,,,,
114183266644,423494149,Yes,Yes,,,,,,,,,,,,
114183238035,423494149,Yes,Yes,,,,,,,,,,,,
114183234137,423494149,Yes,Yes,,,,,,,,,,,,
114183233546,423494149,Yes,Yes,,,,,,,,,,,,
114183233033,423494149,Yes,Yes,,,,,,,,,,,,
114183148426,423494149,Yes,Yes,,,,,,,,,,,,
114182796357,423494149,Yes,Yes,,,,,,,,,,,,
114182536538,423494149,Yes,Yes,,,,,,,,,,,,
114182440547,423494149,Yes,Yes,,,,,,,,,,,,
114182401454,423494149,Yes,Yes,,,,,,,,,,,,
114182389275,423494149,Yes,Yes,,,,,,,,,,,,
114182385105,423494149,Yes,Yes,,,,,,,,,,,,
114182380814,423494149,Yes,Yes,,,,,,,,,,,,
114182243103,423494149,Yes,Yes,,,,,,,,,,,,